Name,Archtype,Level,Sacrifice,Description,ClassName,Implemented,LevelsPerCharges,Calculation,SpellLike
Improved Savage Grapple,Brutal Pugalist,5,Improved Uncanny Dodge,"At 5th level, the brutal pugilist takes no penalties to Dexterity, attack rolls, and combat maneuver checks when she has the grappled condition. She also is treated as one size larger than her actual size when determining whether she can be grappled using the grab ability or swallowed by another creature. This ability",Barbarian,,,,Ex
Raging Drunk,Drunken Brute,1,Fast Movement,"While raging, the drunken brute can drink a potion, or a tankard of ale or similar quantity of alcohol, as a move action that does not provoke attacks of opportunity. A potion has its normal effect, while an alcoholic drink allows the barbarian to maintain her rage that round without expending a round of rage for the day (instead of the alcohol's normal effects). For each alcoholic drink consumed while raging, the barbarian is nauseated for 1 round when her rage expires, in addition to the normal fatigue that follows a rage. Tireless rage does not negate this nauseated condition but the internal fortitude rage power does. This ability",Barbarian,,,,Ex
Elemental Fury,Elemental Kin,3,Trap Sense,"At 3rd level, whenever the elemental kin takes an amount of energy damage equal to or greater than her barbarian level while raging, she adds 1 to the total number of rounds that she can rage that day. At 6th level, and every three levels thereafter, the number of extra rounds per energy attack increases by +1, to a maximum of +6 rounds per energy attack at at 18th level. This ability",Barbarian,,,,Ex
Skilled Thrower,Hurler,1,Fast Movement,The hurler is skilled at throwing objects in combat. Increase the range increment of any thrown weapon or object by 10 feet. This ability,Barbarian,,,,Ex
Invulnerability,Invulnerable Rager,2,"Uncanny Dodge,Improved Uncanny Dodge,Damage Reduction","At 2nd level, the invulnerable rager gains DR/— equal to half her barbarian level. This damage reduction is doubled against nonlethal damage. This ability",Barbarian,,,,Ex
Extreme Endurance,Invulnerable Rager,3,Trap Sense,"At 3rd level, the invulnerable rager is inured to either hot or cold climate effects (choose one) as if using endure elements. In addition, the barbarian gains 1 point of fire or cold resistance for every three levels beyond 3rd. This ability",Barbarian,,,,Ex
Fast Rider,Mounted Fury,1,Fast Movement,The speed of any mount the barbarian rides is increased by 10 feet. This ability,Barbarian,,,,Ex
Bestial Mount,Mounted Fury,5,"Uncanny Dodge,Improved Uncanny Dodge","At 5th level, the mounted fury gains the service of a feral mount. This ability functions as a druid's animal companion, using the barbarian's level –4 as her effective druid level. This companion must be one that she is capable of riding and is suitable as a mount. A Medium barbarian can select a camel or a horse. A Small barbarian can select a pony or a wolf, but can also select a boar or a dog if she is at least 8th level. Whenever a barbarian is raging while mounted on her bestial mount, the mount gains a +2 morale bonus to its Strength. This ability",Barbarian,,,,Ex
Naked Courage,Savage Barbarian,3,Trap Sense,"At 3rd level, the savage barbarian gains a +1 dodge bonus to AC and a +1 morale bonus on saving throws against fear when wearing no armor (shields are allowed). This bonus increases by +1 for every six levels after 3rd. This ability",Barbarian,,,,Ex
Natural Toughness,Savage Barbarian,7,Damage Reduction,"At 7th level, the savage barbarian gains a +1 natural armor bonus to AC when wearing no armor (shields are allowed). This bonus increases by +1 for every three levels beyond 7th. This ability",Barbarian,,,,Ex
Fast Movement,Standard Barbarian,1,,While under non-heavy load move at a +10 rate.,Barbarian,1,,,
Rage,Standard Barbarian,1,,"+4 Str and Con, +2 Will, and -2 AC while under the duration of rage.",Barbarian,1,,,
Rage Power,Standard Barbarian,2,,Gain {0} rage powers that benefit you while raging.,Barbarian,1,,,
Uncanny Dodge,Standard Barbarian,2,,"Cannot be caught flat-footed, nor does she lose her Dex bonus to AC if the attacker is invisible.",Barbarian,1,,,
Trap Sense,Standard Barbarian,3,,Gains a +{0} bonus on Reflex saves made to avoid traps and a +{0} dodge bonus to Armor Class against attacks made by traps.,Barbarian,1,,,
Improved Uncanny Dodge,Standard Barbarian,5,,Can no longer be flanked.,Barbarian,1,,,
Damage Reduction,Standard Barbarian,7,,You gain DR/{0}. Subtract 1 from the damage taken each time you are dealt damage from a weapon or a natural attack.Damage reduction can reduce damage to 0 but not below 0.,Barbarian,1,,,
Greater Rage,Standard Barbarian,11,,"+6 Str and Con, +3 Will, and -2 AC while under the duration of rage.",Barbarian,1,,,
Indomitable Will,Standard Barbarian,14,,Gains a +4 bonus on Will saves to resist enchantment spells.,Barbarian,1,,,
Tireless Rage,Standard Barbarian,17,,No longer becomes fatigued at the end of rage,Barbarian,1,,,
Mighty Rage,Standard Barbarian,20,,"+8 Str and 8 Con, +4 Will, and -2 AC while under the duration of rage.",Barbarian,1,,,
Sixth Sense,Superstitious,3,Trap Sense,"At 3rd level, the superstitious barbarian gains a +1 bonus on initiative and a +1 insight bonus to AC during surprise rounds. This bonus increases by +1 for every three levels after 3rd. This ability",Barbarian,,,,Ex
Keen Senses,Superstitious,7,Damage Reduction,"At 7th level, the superstitious barbarian gains low-light vision (triple normal vision range in dim light if she already has low-light vision). At 10th level, she gains darkvision 60 feet (or adds 60 feet to the range of any darkvision already possessed). At 13th level, she gains scent. At 16th level, she gains blindsense 30 feet. At 19th level, she gains blindsight 30 feet. This ability",Barbarian,,,,Ex
Hardy,Survivalist,1,Trapfinding,You are already prepared to endure extreme hardships and environmental conditions. You can go twice the normal number of days without water and triple the normal number of days without food before feeling the effects of either thirst or starvation.,Barbarian,0,,,
Endure Elements,Survivalist,3,Trapsense,You can cast endure elements as a spell-like ability using your rogue level as caster level.,Barbarian,0,,,
Big Game Hunter,Titan Mauler,1,Fast Movement,A titan mauler gains a +1 bonus on attack rolls and a +1 dodge bonusto AC in melee with creatures larger than themselves. ,Barbarian,0,,,Ex
Jotungrip,Titan Mauler,2,Uncanny Dodge,"At 2nd level, a titan mauler may choose to wield a two-handed melee weapon in one hand with a –2 penalty on attack rolls while doing so. The weapon must be appropriately sized for her, and it is treated as one-handed when determining the effect of Power Attack, Strength bonus to damage, and the like.",Barbarian,0,,,Ex
Massive Weapons,Titan Mauler,3,Trap Sense,"At 3rd level, a titan mauler becomes skilled in the use of massive weapons looted from her titanic foes. The attack roll penalty for using weapons too large for her size is reduced by 1, and this reduction increases by 1 for every three levels beyond 3rd (to a minimum of 0).",Barbarian,0,,,Ex
Evade Reach,Titan Mauler,5,Improved Uncanny Dodge,"At 5th level, as a swift action, a titan mauler may choose one creature within her line of sight. Until the end of her turn, that target’s reach is treated as if it were 5 feet shorter with respect to reaching the titan mauler, and this reduction increases by 5 feet for every five levels beyond 5th.",Barbarian,0,,,Ex
Titanic Rage,Titan Mauler,14,Indomitable Will,"At 14th level, a titan mauler may choose to gain the benefits of enlarge person when she enters a rage. While using titanic Rage, she must spend 2 rounds of rage per round, and she becomes exhausted rather than fatigued when the rage ends.",Barbarian,0,,,Su
Archivist,Archivist,1,,An archivist gains the following types of bardic performance,Bard,,,,
Naturalist,Archivist,1,Inspire Courage,"An archivist who has identified a creature with a Knowledge check appropriate to its type can use performance to share strategies for defeating it with allies in combat The archivist and any allies within 30 feet gain a +1 insight bonus to AC and on attack rolls and saving throws against exceptional, supernatural, and spell-like abilities used by creatures of that specific kind of monster (eg, frost giants, not all giants or all humanoids) This bonus increases by +1 at 5th level and every six levels thereafter This language-dependent ability requires visual and audible components This ability replaces inspire courage",Bard,,,,Ex
Lore Master,Archivist,2,Versatile Performance,"At 2nd level, an archivist may take 20 on Knowledge checks once per day, plus once per six levels beyond 2nd This ability replaces versatile performance",Bard,,,,Ex
